,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
551792,4,3,2,3,3,3,4,3,3,2,1,2
405890,5,4,2,4,3,3,3,2,3,2,1,2
437186,2,2,1,0,1,1,2,1,1,2,1,1
219843,4,5,2,4,3,4,4,4,4,4,3,3
70474,4,4,2,3,3,3,4,3,4,3,2,2
132972,4,4,2,3,3,3,3,3,3,3,1,2
301784,5,5,2,4,3,4,4,3,4,3,2,3
20908,2,2,2,0,2,1,2,2,3,3,1,1
208913,3,2,2,2,2,3,3,1,3,2,1,1
423936,5,4,3,4,3,4,4,4,5,3,2,3
46218,5,5,3,4,4,4,4,4,4,4,2,3
109097,4,4,2,3,3,3,4,3,4,3,2,2
113400,2,2,1,0,2,1,1,1,2,2,1,1
341120,3,3,2,3,3,3,3,3,3,2,1,2
56309,2,2,1,0,2,1,2,1,2,2,1,1
293807,4,3,2,4,3,4,4,3,4,3,1,3
144727,2,2,1,1,2,1,2,1,2,2,1,1
150190,4,3,2,2,3,3,3,3,3,3,1,2
247931,5,3,2,4,3,4,4,3,3,3,1,3
286548,1,0,1,1,1,1,1,1,1,2,1,0
522165,4,3,2,4,3,4,4,3,3,3,1,3
163689,3,3,2,2,2,3,3,3,3,2,1,2
497220,2,2,1,0,2,1,2,1,1,2,1,1
440049,5,5,2,5,4,4,4,4,4,4,3,3
210408,4,3,2,4,3,3,4,3,3,3,1,3
71726,3,2,2,1,2,2,3,1,3,2,0,1
454907,3,3,2,2,2,2,3,3,3,2,1,2
576925,5,4,2,4,3,4,3,3,4,3,2,3
366619,4,3,2,3,3,3,3,3,3,3,1,2
418516,2,2,1,2,2,1,3,1,2,2,1,1
194692,1,2,1,2,2,1,3,1,2,2,1,1
226608,1,2,1,0,0,1,3,0,2,2,1,1
466704,4,3,2,3,3,4,4,3,4,3,1,2
92485,3,2,2,2,2,1,3,1,2,2,1,1
184655,4,5,2,4,3,4,4,4,4,4,1,3
319596,3,3,2,2,3,3,3,3,3,2,1,2
247507,5,5,2,4,4,4,4,4,4,4,2,3
241777,1,1,0,0,0,1,3,1,1,2,1,1
253538,4,4,2,4,3,4,4,4,4,4,2,3
101433,3,2,2,2,2,2,2,1,3,2,1,1
372861,3,3,2,2,2,3,3,3,3,2,1,1
510977,5,3,2,4,3,3,3,3,3,3,1,3
112602,3,3,2,2,2,3,3,3,3,2,1,2
191975,4,3,2,2,3,3,4,3,3,2,1,2
360685,3,3,2,3,3,3,3,3,3,3,1,2
586754,3,2,2,3,3,3,3,3,3,2,1,1
493237,2,2,1,1,0,1,1,1,2,2,1,1
244779,5,5,2,4,3,4,4,4,5,4,3,3
346079,3,3,2,2,2,3,3,3,3,2,1,1
65600,5,4,2,4,3,3,4,3,3,2,1,2
234431,4,4,2,3,3,2,3,3,1,3,2,2
526871,5,4,2,4,3,3,3,3,3,2,1,2
431646,4,4,2,4,3,3,4,3,4,3,2,2
110186,4,4,2,3,3,3,4,3,4,2,2,2
450141,4,3,2,3,3,3,3,3,4,3,2,2
34450,4,2,2,3,3,3,3,3,1,2,2,1
490444,2,2,1,0,2,1,2,1,2,2,1,1
34009,5,4,2,4,3,3,3,3,4,3,2,2
79027,4,3,2,3,3,3,4,3,3,3,1,3
347971,3,4,2,3,3,2,3,2,3,3,2,2
216882,2,2,1,1,2,1,2,2,1,2,1,1
436834,4,3,2,3,3,4,4,3,3,3,1,3
29744,5,4,2,4,3,4,4,3,4,3,1,2
11090,5,5,2,4,4,4,4,4,4,4,1,3
134633,4,4,2,4,3,4,4,3,4,3,2,2
241769,5,4,2,4,3,3,4,3,3,3,4,3
507995,4,3,2,3,3,3,4,3,3,2,1,2
535545,3,3,2,2,3,3,3,3,3,3,1,2
81351,5,5,2,5,4,4,4,4,4,4,3,3
535537,2,2,1,1,2,1,1,2,3,2,1,1
196906,3,3,2,2,2,3,3,3,3,2,1,2
354595,3,3,2,2,3,3,3,3,3,3,1,2
423005,4,3,2,3,3,4,4,4,4,4,1,3
56488,5,5,2,4,4,3,4,3,4,3,1,3
59483,2,0,1,0,0,1,2,0,2,0,1,1
222851,4,5,2,4,4,4,4,4,4,3,1,3
33483,3,3,2,2,2,3,3,3,3,2,1,1
473860,4,4,2,3,3,3,4,3,4,3,2,2
118770,4,3,2,4,3,3,4,3,4,3,1,2
115759,3,3,2,2,2,3,3,3,3,2,1,1
372781,4,4,3,4,3,4,4,4,5,4,2,3
482027,2,2,1,1,2,1,1,2,2,2,1,1
127449,3,2,2,3,2,1,3,3,3,2,2,1
419314,3,3,2,2,2,2,3,2,3,2,1,2
239524,5,5,3,5,4,5,4,4,5,4,3,3
366205,4,4,2,3,3,4,4,4,4,3,2,2
324124,2,2,1,1,2,1,2,2,3,2,1,1
206073,2,2,1,0,2,1,2,2,1,3,2,1
11294,4,3,2,4,3,4,4,3,4,3,1,3
119898,4,3,2,3,3,3,4,3,3,2,1,2
361168,2,2,1,1,2,1,2,1,2,2,1,1
31989,3,3,2,2,3,3,3,3,3,2,1,2
163598,2,2,2,1,2,1,2,2,3,3,1,2
159973,5,5,2,4,4,4,4,4,4,3,1,3
559334,1,2,1,2,1,1,3,1,2,2,1,1
403737,4,3,2,3,3,3,4,3,4,3,1,2
131767,5,5,3,4,3,4,4,4,5,4,2,3
256815,3,4,2,2,3,2,2,2,3,2,2,1
172648,4,3,2,3,3,3,3,3,3,3,1,2
133419,3,2,2,2,2,2,3,2,3,2,1,2
420901,3,3,2,3,2,3,1,2,3,2,1,1
430970,5,4,3,4,3,4,4,4,5,3,2,3
436329,3,2,2,1,2,2,2,2,3,2,2,1
481121,4,3,2,3,3,3,3,3,3,2,1,2
313384,3,2,2,2,2,1,3,1,3,2,1,1
329041,5,4,2,4,3,4,4,3,4,3,1,3
328841,3,3,2,2,3,3,3,3,3,2,1,1
555,4,2,1,3,2,4,3,1,1,3,2,1
520350,4,4,2,3,3,3,4,3,5,4,2,2
123137,2,2,2,1,2,1,2,2,3,3,1,2
384204,3,3,2,2,2,2,3,2,3,2,1,2
331754,4,5,2,4,3,4,4,4,4,4,3,3
557036,5,4,2,4,3,3,4,3,4,3,2,3
472153,5,5,3,4,3,4,4,4,4,3,2,3
359156,3,2,1,2,2,2,3,2,1,2,2,1
264700,4,3,2,3,3,3,4,3,3,3,1,2
592674,4,4,3,3,3,3,0,2,3,2,0,1
472976,3,2,2,2,2,3,3,3,3,2,1,1
112455,3,3,2,2,2,2,3,3,3,2,1,2
49779,1,0,0,0,1,1,1,0,1,1,1,0
228370,2,2,1,2,2,1,2,1,2,2,1,1
227902,4,3,2,3,3,3,4,3,3,2,1,2
56765,5,5,3,5,4,5,4,4,5,4,3,4
151467,1,2,1,2,2,1,3,1,2,2,1,1
546473,3,2,2,2,3,3,3,3,3,2,1,1
513991,5,5,2,4,4,4,4,4,4,3,1,3
484129,5,5,2,5,4,4,4,4,5,4,3,4
60612,2,2,1,0,2,1,2,1,1,2,1,1
36040,5,4,3,4,3,3,5,3,4,3,2,2
181066,1,2,1,1,2,1,1,0,2,2,1,1
85310,4,3,2,3,3,3,3,3,3,2,1,2
422172,5,5,3,5,4,4,4,4,4,4,4,4
582470,3,3,2,2,2,3,3,3,3,2,1,2
5344,5,5,2,4,3,4,4,4,4,3,2,3
293610,4,5,2,4,3,4,4,4,5,4,2,3
427188,4,4,2,3,3,3,4,3,4,3,2,2
266722,4,3,2,3,3,3,3,3,3,2,1,2
82796,2,0,1,0,1,1,2,1,1,1,1,1
444919,4,4,2,3,3,2,3,2,1,2,2,1
144108,4,3,2,4,3,3,3,3,3,3,1,2
135840,4,4,2,3,3,4,4,4,5,4,2,3
78129,3,3,2,2,2,3,3,3,3,2,1,2
82149,4,4,2,3,3,3,3,3,3,2,1,2
450913,3,2,2,3,2,3,1,2,3,2,2,1
167249,2,2,2,1,2,1,2,1,2,2,1,1
217245,3,3,2,0,2,2,2,2,3,3,1,2
143431,2,2,2,1,2,1,2,1,2,2,1,1
355813,4,5,2,4,3,4,4,4,4,4,3,3
196661,2,2,1,1,2,1,2,1,2,2,1,1
422852,2,2,1,2,2,1,2,1,2,2,1,1
577181,3,2,2,2,2,1,2,1,3,2,1,1
532292,4,3,2,4,3,3,3,3,3,3,1,2
413831,3,3,2,2,3,3,3,3,3,2,1,2
21272,2,2,2,2,2,1,2,1,3,2,1,1
277343,3,3,2,2,2,2,2,3,3,2,1,2
33855,1,1,0,0,1,1,1,1,1,2,1,1
334334,3,3,2,4,3,3,3,3,3,3,1,2
230752,3,2,2,2,2,3,3,1,3,2,1,1
406250,3,2,2,2,2,3,3,1,3,2,1,1
156603,3,2,1,2,2,1,1,1,3,2,1,1
567997,3,3,2,2,2,3,3,2,3,2,1,1
20085,2,2,1,1,2,1,2,2,1,2,1,1
434722,5,5,2,4,4,4,4,4,5,4,3,3
169408,4,4,2,4,3,3,3,3,3,3,1,2
399331,2,2,1,0,0,1,2,1,2,2,1,1
540520,3,3,2,2,3,3,3,3,3,2,1,2
414908,3,3,2,2,2,3,3,3,3,2,1,2
164634,5,4,3,4,3,4,4,3,5,3,2,2
571890,2,2,1,0,2,0,2,1,1,1,1,1
96558,5,4,2,2,3,3,3,3,3,3,1,2
565024,4,3,2,4,4,4,4,4,4,3,1,3
139674,3,2,2,3,2,3,3,1,3,2,1,1
478869,4,3,2,4,3,4,4,4,4,3,1,3
54776,3,2,2,2,2,3,3,2,3,2,2,1
188934,4,3,2,4,3,3,3,3,3,3,1,2
206888,5,5,3,4,3,4,4,4,5,4,2,3
152780,4,4,2,4,3,3,3,3,3,3,1,2
39361,4,5,2,4,4,4,4,4,4,3,3,3
406335,1,0,0,0,0,1,0,1,1,1,1,0
39523,1,1,1,1,2,0,1,1,1,2,1,1
60059,1,0,0,0,0,1,0,0,1,1,1,0
586688,4,4,2,4,3,4,4,3,3,3,1,2
352123,2,2,1,2,2,1,2,1,1,2,1,1
87336,4,5,2,4,4,3,4,3,4,3,3,3
348397,4,3,2,3,3,3,3,3,3,2,1,2
557681,2,2,1,0,0,1,2,1,2,2,1,1
319092,5,5,3,4,4,4,4,4,5,4,3,3
127007,4,4,2,3,3,4,4,4,4,3,2,2
202363,5,4,2,4,3,3,3,3,4,3,1,2
576853,4,3,2,4,3,3,4,3,3,3,1,3
400989,4,3,2,3,3,3,4,4,4,2,1,2
380,4,2,0,5,4,4,5,3,4,3,1,3
71411,4,4,2,3,3,3,3,3,5,3,2,2
335341,3,3,2,4,3,3,3,3,3,3,1,2
574075,5,5,2,4,3,4,4,4,4,4,2,3
359893,4,4,2,2,2,3,3,3,3,3,2,2
416006,4,3,2,3,3,3,3,3,3,3,1,2
143483,5,4,2,4,3,4,4,3,4,3,2,3
468992,3,3,1,1,2,2,1,2,3,2,0,1
408404,2,2,2,1,2,2,2,2,3,2,1,2
463636,3,3,2,2,3,3,3,3,3,2,1,2
116595,1,2,1,2,0,1,3,1,2,2,1,1
243657,5,4,3,4,3,4,5,3,5,3,2,2
395984,3,3,2,2,3,2,3,3,3,2,1,2
332187,4,5,2,5,4,4,4,4,4,4,3,3
265812,1,2,1,1,1,1,1,1,1,2,1,1
260813,4,5,2,4,3,4,4,4,4,3,1,3
380845,2,2,1,0,1,1,2,1,1,2,1,1
79258,4,5,2,4,3,4,4,4,4,4,2,3
215363,4,4,2,3,3,3,4,3,4,3,2,2
587197,4,4,3,4,3,4,4,3,5,4,2,2
102415,1,0,1,1,1,1,2,1,2,2,1,1
579921,4,3,2,3,3,3,4,3,4,3,1,2
437359,5,4,2,4,3,3,3,3,5,3,2,2
148878,5,4,3,4,3,4,4,4,4,3,2,3
504161,4,3,2,3,3,3,4,3,3,2,1,2
536003,2,2,1,1,2,1,1,1,2,2,1,1
429958,4,4,2,4,3,4,4,3,3,3,1,2
81367,4,4,2,4,3,4,4,3,4,3,2,3
404970,4,5,2,4,3,4,4,3,4,3,1,3
419068,5,5,3,5,4,4,4,4,5,4,4,4
352764,4,3,2,3,3,3,4,3,4,3,1,3
381618,3,3,2,2,3,3,3,3,3,2,1,2
194670,2,2,1,1,0,1,1,1,2,2,1,1
411630,2,2,2,2,2,1,2,1,2,2,1,1
431799,5,4,2,4,3,4,4,3,4,3,2,3
58755,4,4,3,4,3,4,4,4,5,4,3,3
588800,4,4,2,3,3,3,3,3,1,3,2,2
286795,3,2,2,1,2,1,2,2,3,2,2,1
576576,2,2,1,1,0,1,1,1,2,2,1,1
269038,5,5,3,4,3,4,4,4,5,4,2,3
302879,2,2,1,2,1,1,2,1,2,2,1,1
221085,4,3,2,4,4,3,4,3,3,3,1,3
50064,4,3,2,4,3,3,4,3,3,3,1,2
289996,1,1,1,1,2,1,1,2,1,2,1,0
11385,2,2,1,1,2,1,1,2,1,2,2,1
545000,4,3,2,4,4,4,4,3,3,3,1,3
557553,4,4,2,3,3,4,4,3,4,3,2,2
165454,3,2,2,2,2,2,3,2,3,2,1,1
45400,2,2,1,1,0,1,2,1,2,2,1,1
91114,5,5,3,4,3,4,5,4,4,3,2,3
503035,4,3,2,3,3,3,4,3,3,2,1,2
415753,3,2,2,2,2,3,3,1,2,2,1,1
543635,4,3,2,3,3,4,4,3,4,3,1,2
25376,4,3,2,3,3,3,4,3,4,3,1,2
141967,5,5,3,5,3,5,4,4,5,4,3,3
248105,4,3,2,3,3,3,4,3,3,2,1,2
571167,2,2,1,1,0,1,2,1,2,2,1,1
89103,4,4,2,3,3,3,3,3,4,3,2,2
366710,4,3,2,3,3,3,4,3,3,2,1,2
405948,1,1,1,0,0,0,0,1,2,2,1,1
152334,3,3,2,2,3,3,3,3,3,3,1,2
40130,4,5,2,5,3,3,4,4,5,4,3,3
401065,4,5,2,5,4,5,4,4,4,4,3,3
508296,3,3,2,3,2,3,3,3,3,2,1,1
61168,5,5,3,4,3,4,4,4,5,4,2,3
367562,3,2,2,2,2,1,3,3,1,2,2,1
450525,4,4,2,3,3,3,4,3,4,3,2,2
494927,4,5,2,5,4,4,4,4,4,4,3,3
476156,2,2,1,0,0,1,2,1,2,2,1,1
107705,2,2,2,2,2,1,3,1,2,2,1,1
167087,3,2,2,2,2,1,2,2,3,2,1,2
517682,3,4,2,2,2,2,3,2,3,2,2,2
429364,4,5,2,5,4,4,4,4,5,4,3,3
73756,3,2,2,3,3,3,3,3,3,2,1,1
6975,5,4,2,4,3,3,4,3,4,3,2,2
535043,5,4,2,3,3,3,3,2,3,2,2,2
443787,4,3,2,2,2,3,3,3,3,3,1,2
392346,4,5,2,4,3,4,4,4,4,4,3,3
43824,3,3,2,3,3,3,4,3,3,2,1,2
63090,2,2,1,0,2,0,2,1,2,2,1,1
478650,3,3,2,2,2,2,3,1,3,2,0,1
240627,5,5,2,4,3,4,4,3,4,3,1,3
256314,4,5,2,4,3,3,4,4,4,4,3,3
49078,5,4,2,4,3,3,4,3,3,2,1,2
488999,3,2,2,2,2,3,3,2,3,2,2,1
349763,3,3,2,3,2,3,1,2,3,2,0,1
585102,5,4,2,4,3,3,3,3,3,3,1,3
77840,5,4,2,4,3,3,4,3,3,3,1,3
417252,3,3,2,2,2,2,2,3,3,2,1,2
24967,4,4,2,3,3,3,4,3,3,2,2,1
29943,1,2,1,0,2,1,3,1,2,2,1,1
214359,2,1,1,1,1,1,1,2,2,2,1,1
509940,4,4,2,4,3,4,4,3,4,3,1,2
460782,3,3,2,3,3,3,3,3,3,3,1,2
491430,1,0,1,0,1,1,2,1,1,2,1,1
576797,2,2,1,2,2,1,3,1,1,2,2,1
46577,5,4,2,4,3,4,4,4,4,3,1,3
315257,4,3,2,2,3,3,3,3,3,2,1,2
502316,4,3,2,3,3,3,4,3,3,2,1,2
327073,4,3,2,4,3,4,4,3,3,3,1,3
253592,4,3,2,3,3,3,4,3,3,3,1,2
506070,4,5,2,5,3,4,4,4,4,4,3,3
300508,3,3,2,2,3,2,3,3,3,3,1,2
306182,4,5,2,4,3,4,4,3,4,3,2,3
343497,4,4,2,2,2,3,3,2,3,3,2,2
426547,4,5,2,4,3,4,4,4,4,4,3,3
227673,3,3,2,3,2,3,3,3,2,2,1,1
426923,3,2,2,2,2,1,3,1,3,2,1,1
160252,4,3,2,3,3,3,3,3,3,2,1,2
524027,4,4,2,4,3,4,4,3,4,3,1,3
22318,4,4,2,4,3,4,4,3,4,3,1,2
398551,4,4,3,3,3,3,4,3,4,3,2,2
296342,4,2,2,3,2,3,3,3,1,2,2,1
32232,4,3,2,3,3,3,3,3,3,3,1,2
324665,2,2,1,0,0,1,2,1,2,2,1,1
497921,1,1,0,0,1,1,1,1,1,1,1,1
550358,4,4,2,3,3,3,4,3,3,3,1,2
205817,5,5,3,4,3,4,4,4,5,3,2,3
74244,2,1,1,1,0,1,1,1,2,2,1,1
79010,4,3,2,3,3,4,4,3,4,3,2,3
79238,4,4,2,4,3,4,4,4,4,3,1,3
406210,4,3,2,4,3,4,4,3,3,3,1,3
224883,1,2,1,1,0,1,3,1,2,0,1,1
42679,3,3,2,2,2,3,3,3,3,2,1,1
503955,5,5,2,4,3,4,4,4,3,3,1,3
574972,1,1,1,1,0,0,3,1,2,0,1,1
139602,3,3,2,2,2,2,3,2,3,2,1,2
567911,2,2,1,1,2,1,2,2,1,2,2,1
23590,5,5,2,4,4,3,4,4,4,4,3,3
545068,4,3,2,2,2,3,3,3,3,3,1,2
363943,2,1,1,0,0,1,2,1,1,2,1,1
159542,4,4,2,3,3,3,3,3,3,3,2,2
133363,2,2,1,0,0,1,2,1,2,2,1,1
209429,3,3,2,2,2,2,2,2,3,2,1,2
528770,4,3,2,4,4,4,4,3,4,3,1,3
231675,4,5,2,5,4,5,4,4,5,4,3,3
404077,4,4,3,3,3,3,3,3,5,3,2,2
128318,2,2,1,1,1,1,2,1,2,2,1,1
167515,4,4,2,3,3,3,3,3,5,3,2,2
443727,4,4,2,4,3,4,4,3,4,3,1,2
451961,2,2,1,0,2,1,2,0,2,2,1,1
423342,4,5,2,4,3,4,4,3,4,3,1,3
333971,2,2,1,2,2,1,2,1,3,2,1,1
538396,5,4,2,4,3,4,4,3,4,3,2,3
473632,3,3,2,3,3,3,4,3,3,2,1,1
439450,1,2,1,2,2,0,3,1,2,2,1,1
376821,4,3,2,4,3,4,4,3,4,3,1,3
7075,2,2,1,0,0,1,2,1,2,2,1,1
320496,4,3,2,4,3,4,4,4,4,3,1,3
394903,5,5,3,5,4,5,4,4,5,4,3,3
532966,5,5,2,4,4,4,4,3,4,3,1,3
174934,4,3,2,2,3,3,3,3,3,2,1,2
558267,1,1,1,0,1,1,1,1,1,2,1,1
175224,4,4,2,3,3,3,3,3,3,3,2,2
491300,5,5,2,5,4,5,4,4,5,4,3,3
123792,3,3,2,2,2,2,2,2,3,2,1,2
584410,3,3,2,2,2,3,3,3,3,2,1,2
2546,4,3,2,3,3,3,4,3,4,3,1,3
32011,4,4,2,3,3,3,4,3,4,3,2,3
317161,2,2,1,1,2,1,2,1,2,2,1,1
169913,4,2,2,3,3,3,3,3,3,2,1,1
377253,4,3,2,3,3,3,4,3,3,3,1,2
517014,4,3,2,3,3,3,4,3,4,3,1,2
56758,5,5,3,5,4,4,4,4,5,4,4,4
397505,4,3,2,2,3,3,3,3,3,2,1,2
424170,3,2,2,3,3,3,3,3,3,2,1,1
210295,5,5,2,5,4,4,4,4,4,4,3,4
232550,2,2,1,1,2,1,2,1,2,2,1,1
266148,2,2,1,0,2,1,2,1,2,2,1,1
551148,2,2,1,1,1,1,2,1,3,2,1,1
468411,3,2,2,2,2,1,2,1,2,2,1,1
151835,4,5,2,4,4,4,4,4,4,4,1,3
209986,2,2,1,0,2,1,1,2,2,2,1,1
508621,4,5,2,5,4,4,4,4,4,4,3,3
566840,4,4,2,3,3,3,3,3,4,3,2,2
19223,2,2,1,0,0,1,2,0,2,2,1,1
539586,5,5,2,5,4,4,4,4,5,4,3,3
3856,2,2,1,0,0,1,2,1,2,2,1,1
127174,5,4,2,4,3,3,4,3,4,3,2,2
136192,5,4,3,4,3,4,5,3,5,3,2,2
89055,1,1,1,0,0,1,1,0,2,2,1,1
445067,2,2,1,0,2,1,2,1,1,2,1,1
172336,5,5,3,5,3,4,4,4,5,4,3,3
73235,4,3,2,4,4,4,4,4,3,3,1,3
109417,2,2,1,1,2,1,2,1,3,2,1,1
336390,3,4,2,2,2,2,2,2,3,2,1,2
362044,5,5,2,4,3,3,4,4,4,3,2,3
219487,4,3,2,3,3,3,3,3,3,3,1,2
19097,5,5,2,4,4,4,4,3,4,3,2,3
72719,5,4,2,4,3,4,4,3,4,3,2,2
138357,3,3,2,2,2,3,1,2,3,2,0,2
283634,5,5,2,4,4,4,4,4,4,4,3,3
471412,3,3,2,3,3,3,3,2,3,2,1,2
424156,2,1,1,2,2,1,2,1,1,2,1,1
423836,2,2,1,1,2,1,2,2,3,2,1,1
12008,5,5,3,4,3,4,4,4,5,4,3,3
594265,3,3,2,2,2,3,3,3,3,2,1,1
466453,3,3,2,3,2,3,3,3,3,2,1,1
459452,4,3,2,4,3,3,3,3,4,3,1,3
311633,3,2,2,1,2,1,2,1,3,2,1,1
214343,4,4,2,2,3,3,3,3,3,3,1,2
105761,3,2,2,0,2,1,2,3,3,3,2,2
487049,3,2,2,2,2,1,3,1,2,2,1,1
442805,3,3,2,2,2,3,3,2,3,2,1,1
521345,4,3,2,3,3,4,4,3,4,3,1,2
311731,2,0,1,0,1,1,1,2,1,1,1,1
318541,2,2,1,1,2,1,1,1,1,2,1,1
354802,1,2,1,0,0,1,3,1,2,2,1,1
487475,1,2,2,3,2,3,3,1,2,2,1,1
479314,5,4,2,4,3,3,3,3,4,3,2,2
293619,5,4,2,2,3,3,3,2,3,3,1,2
360530,4,4,2,4,3,4,3,3,5,3,2,2
314226,4,4,2,3,3,3,4,3,5,3,2,2
26103,4,3,2,2,2,3,3,3,3,3,1,2
571509,5,5,3,5,3,4,4,4,5,4,3,3
558218,4,2,2,3,3,3,3,3,3,2,2,1
460731,4,4,2,3,3,3,4,3,3,2,1,2
418773,2,2,1,1,2,1,2,1,3,2,1,1
527630,1,1,1,0,1,1,1,1,1,2,1,1
167417,5,4,3,4,3,3,4,4,4,3,2,3
533836,5,5,3,4,4,4,4,4,5,4,4,4
405616,4,4,2,4,3,3,4,3,4,3,2,3
490894,4,5,2,4,4,4,4,4,4,4,1,3
120572,5,5,2,4,4,4,4,4,3,3,4,3
495942,3,3,2,2,2,3,3,3,3,2,1,1
27550,2,2,1,2,1,1,3,1,1,2,1,1
160023,1,1,1,2,0,1,0,1,1,2,1,1
256512,5,5,2,4,3,4,4,4,4,4,2,3
51119,5,5,2,4,4,4,4,4,4,4,3,3
299923,4,4,2,4,3,3,4,3,4,3,2,2
27021,4,4,2,3,3,3,4,3,4,2,2,2
344953,4,3,2,4,3,4,4,3,4,3,1,3
241487,4,4,2,4,3,4,4,3,5,3,2,3
194687,5,4,2,2,3,3,3,2,3,2,0,2
171370,5,5,3,4,3,4,4,4,4,4,2,3
524541,3,2,2,1,2,2,2,2,3,3,1,2
511134,3,3,2,2,2,3,3,3,3,3,1,2
12131,4,3,2,3,3,3,3,3,3,2,1,2
210883,4,3,2,3,3,3,4,3,3,2,1,2
237469,3,3,2,2,2,3,3,3,3,2,1,1
126508,5,5,2,4,3,3,4,3,4,3,2,2
17492,3,3,2,3,3,3,4,3,3,2,1,2
125824,4,3,2,4,3,4,4,3,4,3,1,3
24764,5,4,2,4,3,4,4,3,3,3,1,2
583502,2,2,2,2,2,1,2,1,3,2,1,1
52885,4,4,2,3,3,3,3,3,4,3,2,2
566195,3,3,2,3,3,3,4,3,3,2,1,2
24981,2,3,2,2,2,2,3,2,3,2,1,2
514473,4,4,2,2,3,3,3,3,3,3,2,2
514053,5,4,2,4,3,4,4,4,4,4,2,2
416818,5,5,3,4,3,4,4,4,5,3,2,3
341302,3,3,2,2,2,3,3,3,3,2,1,1
94412,4,3,2,3,3,3,4,3,4,2,1,2
220430,3,2,2,3,2,3,3,3,3,2,1,1
497784,3,2,2,2,2,3,3,1,3,2,1,1
162540,5,4,2,4,3,3,5,3,3,2,0,2
276630,5,5,2,4,4,4,4,4,5,4,3,3
288146,4,3,2,4,3,3,3,3,3,3,1,2
394913,5,5,2,4,3,3,4,4,3,3,4,3
18920,4,5,2,4,3,3,4,4,4,3,1,3
75742,4,4,2,3,3,3,4,3,4,3,2,2
420447,4,4,2,3,3,3,3,3,4,3,2,2
447849,3,3,2,2,3,3,3,3,3,2,1,2
481254,5,5,3,4,3,4,4,4,5,4,2,3
416458,5,5,2,4,3,4,4,3,4,3,2,3
258835,4,3,2,3,3,3,3,3,3,2,2,2
378207,2,2,1,2,0,1,2,1,2,2,1,1
171800,3,2,2,2,2,1,2,3,1,3,2,2
258980,5,5,2,5,3,4,4,4,5,4,3,3
108360,3,3,2,2,3,3,3,3,3,2,1,2
114034,4,3,2,3,3,4,4,3,4,3,1,2
288098,2,2,2,2,2,1,2,1,3,2,1,1
277996,3,3,2,2,2,2,3,3,3,2,1,2
370048,4,4,2,3,3,3,4,3,3,3,1,2
19479,3,2,2,2,2,1,2,2,3,2,1,1
227900,3,2,2,2,2,2,2,1,3,2,1,1
389700,4,3,2,3,3,3,4,3,3,2,1,2
598066,1,2,1,0,2,1,3,1,2,2,1,1
541317,5,4,3,4,3,4,4,3,5,3,2,3
218745,3,4,2,2,2,3,3,2,3,2,1,2
112420,5,4,2,4,3,3,3,3,4,3,2,2
105398,5,5,3,4,4,4,4,4,4,4,4,4
266133,3,3,2,2,2,2,3,2,3,2,1,2
37900,1,1,1,2,0,1,2,1,2,2,1,1
261895,4,4,2,3,3,3,4,4,4,4,2,3
598780,5,5,2,4,3,4,4,4,5,4,2,3
382272,5,4,3,4,3,3,4,4,5,4,2,2
554787,2,1,1,0,1,1,2,1,1,1,1,1
574724,3,3,2,1,2,3,3,2,3,2,1,1
164397,5,5,2,4,3,3,4,4,4,3,1,3
280312,2,1,1,0,0,1,0,1,1,0,1,1
557398,5,4,2,4,3,3,4,3,3,3,1,3
212325,2,2,1,1,2,1,2,1,2,2,1,1
395231,2,2,1,0,2,1,2,2,1,2,1,1
331021,3,3,2,3,3,3,3,3,3,2,1,1
283266,3,2,2,1,2,1,2,2,3,2,2,1
181347,2,2,1,1,2,1,1,1,2,2,1,1
567307,5,5,2,4,4,4,4,3,4,3,1,3
398758,3,2,2,2,2,1,3,2,1,2,2,1
84260,4,4,2,2,2,3,3,3,3,3,1,2
407810,4,3,2,4,3,4,4,4,4,3,1,3
194379,4,4,2,3,3,4,4,4,5,4,3,3
538536,3,2,2,3,2,3,3,1,3,2,1,1
599363,3,2,2,2,2,1,3,1,2,2,1,1
587394,2,2,1,2,1,1,2,1,2,2,1,1
361682,4,3,2,3,3,3,4,4,4,4,3,3
285565,5,4,3,4,3,3,5,3,4,3,4,2
509386,5,5,2,4,4,4,4,4,4,4,3,3
447136,5,4,2,4,3,3,3,3,3,2,1,2
509177,3,3,2,1,3,2,3,3,3,3,1,2
377531,2,2,1,2,2,1,2,1,1,2,1,1
401958,2,2,1,0,0,1,3,0,2,2,1,1
112772,4,4,2,3,3,3,4,3,4,3,2,2
455564,2,2,2,0,2,1,2,1,3,2,1,1
153771,3,2,2,2,2,2,3,3,3,2,1,2
485127,3,3,2,2,2,3,3,3,3,3,1,2
353699,4,5,2,4,3,4,4,4,5,4,3,3
137028,4,3,2,2,2,3,3,3,3,2,1,1
500429,4,3,2,4,3,4,4,4,4,3,1,3
411406,4,3,2,4,3,3,3,3,3,3,1,3
6089,3,3,2,2,3,3,3,3,3,2,1,2
268825,5,4,3,4,3,3,4,3,4,3,2,3
107215,3,3,2,2,2,2,2,1,3,2,1,2
584316,3,3,2,2,2,3,3,3,3,2,1,1
228379,4,3,2,3,3,3,4,3,3,2,1,2
136498,5,4,2,4,3,3,4,3,4,3,1,2
