,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
595210,3,3,2,3,3,3,3,3,3,2,1,1
470050,1,0,0,0,0,1,1,0,2,1,1,1
503668,3,2,2,2,2,1,2,1,2,2,1,1
182292,3,3,2,2,3,3,3,3,3,3,1,2
61774,5,4,2,4,3,3,4,3,3,3,1,2
341216,5,5,2,4,3,4,4,3,4,3,2,3
274180,3,3,2,2,2,3,3,3,3,2,1,1
584859,4,3,2,3,3,3,4,4,4,3,1,3
277938,5,4,2,4,3,3,4,4,4,3,2,3
308933,5,5,3,4,3,4,4,4,4,3,2,3
564014,3,4,2,1,2,3,1,2,3,2,0,1
88403,1,2,1,2,0,1,2,1,1,2,1,1
312678,5,5,3,5,3,5,4,4,5,4,3,3
502278,4,3,2,3,3,4,4,3,4,3,1,3
163052,2,2,1,2,2,1,3,1,2,2,1,1
201422,4,5,2,5,3,3,4,4,4,4,3,3
191073,4,5,2,4,3,4,4,4,5,4,3,3
482663,4,3,2,4,3,4,4,3,4,3,1,3
82973,5,5,2,4,4,4,4,4,4,3,3,3
97830,3,2,2,2,2,3,3,1,3,2,1,1
141252,4,3,2,3,3,4,4,4,4,4,3,3
219517,2,2,1,1,2,1,1,0,2,2,1,1
338436,5,4,2,4,3,4,4,3,4,3,2,2
264890,4,5,2,4,4,4,4,4,4,4,1,3
230998,4,5,2,4,3,4,4,4,5,4,3,3
237923,2,2,1,0,2,0,2,1,1,2,1,1
88632,4,5,2,4,4,4,4,4,4,3,1,3
8131,1,1,1,0,1,1,1,1,2,2,1,1
22017,4,4,2,3,3,4,4,3,4,3,2,2
82567,2,2,1,0,0,0,2,1,2,2,1,1
531938,3,2,2,3,3,3,3,3,3,2,1,1
472627,4,4,2,4,3,4,4,3,5,3,2,2
559033,1,2,1,2,2,1,1,1,1,2,1,1
159500,2,2,2,1,2,1,2,2,3,2,1,1
536063,2,2,1,2,2,0,2,1,2,2,1,1
73180,5,5,2,4,4,4,4,4,5,4,3,3
347754,2,2,1,2,2,1,3,2,1,2,2,1
178908,3,2,2,3,2,3,1,1,3,2,1,1
221437,3,3,2,2,2,3,3,2,3,2,1,2
457308,2,2,1,0,0,1,2,1,2,2,1,1
543462,5,4,2,4,3,4,4,3,5,3,2,3
481403,3,4,2,1,2,2,2,2,3,2,2,1
175260,5,5,2,5,4,4,4,4,4,4,3,3
415081,3,3,2,3,2,3,1,4,3,2,1,2
393179,4,4,2,1,2,2,3,2,5,3,2,2
517354,4,3,2,3,3,3,4,3,3,2,1,2
125626,2,2,1,2,2,1,2,1,1,2,1,1
557671,5,5,2,4,4,4,4,4,4,4,3,3
105793,2,2,1,0,2,1,2,1,1,2,1,1
9811,4,5,2,5,4,4,4,4,5,4,3,3
543774,5,5,3,4,4,4,4,4,5,4,3,3
246809,3,2,2,2,2,1,2,1,3,2,1,1
513107,3,2,2,3,2,1,3,1,2,2,1,1
452009,4,5,2,4,3,4,4,4,4,3,1,3
164251,4,5,2,4,3,4,4,4,5,4,3,3
229775,5,5,3,5,4,5,4,4,5,4,3,3
312133,2,2,1,0,2,1,2,2,1,3,1,1
582460,5,5,2,4,4,4,4,3,4,3,4,3
544751,1,1,1,0,0,1,1,1,2,0,1,1
379931,3,2,2,2,2,3,3,3,3,2,1,1
272979,4,4,2,3,3,2,3,3,3,3,2,2
308175,5,5,3,5,4,5,4,4,5,4,3,3
450063,5,5,2,4,4,4,4,4,4,4,4,4
475871,5,5,2,4,4,4,4,4,4,4,3,3
325197,3,3,2,2,2,2,3,3,3,3,1,2
389006,3,3,2,4,3,3,3,3,3,2,1,2
255456,4,3,2,3,3,3,4,3,3,3,1,2
328398,4,4,2,4,3,4,4,3,4,3,2,2
117330,5,5,2,4,4,4,4,4,4,4,3,4
313917,3,3,2,3,2,3,1,2,3,2,2,1
100171,5,5,3,5,4,4,4,4,4,4,3,3
543881,1,2,1,1,2,1,1,1,1,2,1,1
102608,5,4,2,4,3,3,4,3,3,3,1,3
244920,2,1,1,0,1,1,2,1,1,2,1,1
522000,5,5,3,4,3,4,4,4,5,4,3,3
114665,2,2,2,1,2,1,2,1,3,2,1,1
31510,4,4,2,3,3,3,3,3,4,2,2,2
172253,2,1,1,0,1,1,2,1,1,1,1,1
464764,4,4,2,3,3,3,3,3,3,3,2,2
360357,2,2,1,0,2,0,2,1,3,2,1,1
460165,5,3,2,4,3,3,3,3,3,3,1,3
29635,1,2,1,1,0,1,1,1,2,2,1,0
68735,3,2,2,2,2,0,3,1,3,2,1,1
508276,5,4,3,4,3,3,4,3,4,3,2,2
256379,4,3,2,4,3,3,4,3,3,3,1,2
217833,3,3,2,2,2,2,3,3,3,2,1,2
365004,5,4,2,4,3,3,3,3,3,3,1,2
392920,3,3,2,2,2,3,3,3,3,2,1,1
527197,1,2,1,1,0,0,1,0,2,2,1,1
86105,4,5,2,4,3,4,4,4,4,3,1,3
139256,3,3,2,2,2,3,3,3,3,2,1,2
572054,2,2,1,2,2,1,2,1,1,2,1,1
468293,2,1,1,0,1,1,2,1,1,2,1,1
27629,1,1,1,1,0,0,1,0,2,2,1,1
210578,5,4,2,4,3,3,4,2,4,3,2,2
452358,5,4,2,4,3,3,4,3,4,3,2,3
91115,2,2,1,0,0,1,2,0,2,1,1,1
494250,4,4,2,3,3,2,3,3,3,3,2,2
29372,3,4,2,1,3,2,3,3,3,3,1,2
500411,4,4,2,3,3,3,4,4,4,2,2,2
215623,4,3,2,3,3,3,4,3,3,2,1,2
26614,2,2,1,2,2,0,2,1,3,2,1,1
367687,5,5,2,4,4,4,4,3,4,3,1,3
510220,3,2,2,2,2,1,3,1,3,2,1,1
211064,2,3,2,1,2,1,3,2,2,2,1,1
255086,1,2,1,1,2,1,1,1,2,2,1,1
518792,5,5,3,4,3,4,4,4,4,3,2,3
254833,4,5,2,5,3,4,4,4,5,4,3,3
184182,3,2,2,2,2,1,3,0,3,2,2,1
592293,4,5,2,4,4,4,4,4,4,3,3,3
521730,3,3,2,3,3,3,3,3,3,2,1,2
461178,3,2,2,2,2,3,3,1,3,2,2,1
511296,4,4,2,3,3,3,3,2,3,2,2,2
104924,4,3,2,3,3,3,4,3,4,2,1,2
266089,5,4,2,4,3,4,4,3,4,3,2,2
133299,1,1,1,1,1,1,1,1,1,2,1,0
298223,4,4,2,4,3,3,4,3,4,3,2,2
124585,4,4,2,3,3,4,4,4,4,3,2,2
119340,4,3,2,3,3,3,3,3,3,3,2,2
333262,3,3,2,2,3,3,3,2,3,2,1,1
542953,2,2,1,1,2,1,3,1,2,2,1,1
255443,2,2,1,0,2,1,2,1,3,2,1,1
379698,1,1,0,0,1,1,1,1,1,2,1,0
140589,2,2,1,0,0,1,1,0,2,2,1,1
133176,3,3,2,1,2,3,1,2,3,2,0,1
496485,4,3,2,3,3,3,4,3,3,2,1,2
583692,4,3,2,3,3,3,4,3,3,2,1,2
462867,4,3,2,3,3,3,3,3,3,2,1,2
37185,3,2,2,3,2,3,3,1,3,2,1,1
458769,5,4,2,4,3,4,4,3,5,3,2,2
478557,5,5,2,4,4,4,4,4,4,4,3,3
134239,5,3,2,4,3,4,4,3,3,3,1,3
429311,4,4,2,3,3,3,3,3,4,3,2,2
342851,2,2,2,2,2,1,2,1,2,2,1,1
37887,1,1,1,0,1,1,2,1,1,2,1,1
186603,3,3,2,2,3,3,3,3,3,2,1,2
71194,4,4,2,3,3,3,3,3,4,2,2,2
254324,5,4,3,4,3,4,4,4,5,4,2,2
434608,3,2,2,2,2,2,2,3,3,2,1,1
433184,3,3,2,2,3,3,3,3,3,2,1,2
268237,5,5,3,4,3,4,4,4,5,4,2,3
443836,4,4,2,3,3,3,3,3,3,2,1,2
392678,4,3,2,4,3,4,4,3,3,3,1,3
