index,id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
105,170411096,4,4,3,4,3,5,5,3,4,2,1,2
106,121592483,3,2,1,1,3,2,2,3,4,3,2,2
107,122972109,6,4,1,3,4,3,1,4,2,2,3,2
108,171434773,5,4,4,5,4,5,5,4,5,4,4,4
109,121047919,3,5,2,3,2,3,4,2,5,3,3,3
110,171419886,5,5,2,3,4,3,4,4,3,5,2,4
111,171216319,4,5,3,4,4,3,3,3,3,3,2,3
112,122057810,3,4,1,3,3,3,5,3,3,3,1,1
113,84098293,5,4,2,2,2,4,2,1,4,4,0,2
114,122735398,2,0,1,3,2,2,2,1,4,2,1,0
115,193091950,3,2,2,3,2,3,1,2,4,1,2,1
116,121108741,1,3,2,3,4,3,3,3,3,2,1,2
117,171160396,2,5,2,1,3,4,3,2,4,2,2,2
118,171048526,4,4,3,3,3,3,4,3,4,2,3,1
119,171419081,3,3,2,2,2,3,4,2,4,5,1,4
120,121722553,1,3,2,3,3,2,4,3,2,2,1,1
121,84127142,3,4,3,1,2,2,5,4,1,2,2,1
122,171449936,5,3,2,1,2,2,2,1,3,2,1,1
123,171064872,5,3,3,3,5,3,2,4,3,4,1,2
124,121685983,5,5,4,3,3,5,5,3,4,4,3,3
125,193058198,5,4,3,2,2,3,4,2,4,2,1,2
126,84443531,4,2,1,4,2,4,3,3,2,4,1,1
127,121686744,3,4,0,3,3,3,4,3,5,1,0,2
128,117552549,3,4,2,3,3,3,3,3,3,3,1,1
129,170801811,4,3,3,1,4,4,2,2,3,2,1,1
130,170819559,5,3,1,2,2,2,4,3,4,3,1,2
131,171046441,5,5,2,3,3,2,3,2,4,3,2,3
132,192844986,4,2,1,3,2,4,3,1,1,3,2,1
133,122202168,3,4,2,1,3,3,3,2,1,2,1,1
134,123023174,2,3,2,3,3,4,4,3,3,2,1,3
135,123002194,0,3,1,4,2,0,3,3,2,1,1,1
136,170344024,4,4,1,3,4,4,4,3,3,2,4,3
137,121808689,2,3,2,2,3,3,4,5,3,1,0,0
138,170478839,3,1,2,2,2,3,3,2,3,2,3,2
139,170965530,5,5,2,4,4,2,5,2,0,0,0,0
140,170841849,2,3,2,2,0,2,1,2,1,3,1,0
141,172467924,5,3,2,3,3,4,5,3,3,3,0,2
142,124027862,3,2,1,2,3,3,1,1,3,2,3,2
143,84750074,4,5,4,4,4,3,4,3,3,3,3,1
144,84443791,3,3,1,2,2,3,2,3,3,4,2,2
145,175734279,4,4,3,4,3,3,5,4,5,4,4,4
146,121662506,3,4,2,2,3,2,3,0,3,3,1,3
147,121680712,4,3,0,4,3,4,3,3,4,1,2,2
148,84512226,4,4,3,2,1,2,5,2,2,1,1,1
149,192859861,3,3,2,1,2,3,2,2,1,2,0,1
150,121576692,5,4,3,4,3,3,4,2,3,4,5,3
151,121655854,3,3,2,4,3,2,5,5,3,5,1,3
152,171435130,6,5,3,1,2,3,3,2,5,3,2,3
153,171251223,4,4,3,2,2,4,5,3,3,2,1,2
154,172906550,5,2,1,3,0,1,3,1,5,4,1,2
155,171339393,5,5,1,3,3,4,4,3,5,3,2,2
156,171164422,2,5,3,3,3,2,5,3,4,4,2,2
157,122878151,5,5,1,4,1,2,1,2,0,4,3,3
158,171459027,3,3,2,4,5,3,4,3,4,1,1,3
159,84092321,4,3,0,4,3,3,4,2,4,1,2,2
160,171408638,4,3,2,3,2,5,4,1,3,4,2,2
161,171247268,5,5,2,3,3,1,4,3,3,3,1,2
162,171371668,4,4,4,3,3,3,3,4,5,2,1,3
163,117517070,2,2,2,2,3,3,3,0,3,4,0,1
164,122877879,2,2,1,5,2,2,3,3,2,2,3,2
165,120372726,4,5,2,1,4,3,4,1,3,1,2,3
166,84860332,3,1,1,2,0,2,2,3,3,0,0,0
167,121707147,3,3,2,4,4,3,3,3,4,1,0,1
168,123001341,4,5,3,3,2,3,4,4,3,2,2,3
169,171450520,4,5,4,5,2,5,5,5,5,2,4,4
170,122064004,4,4,3,2,3,3,4,1,2,1,1,1
171,171559485,3,4,2,2,3,2,5,3,3,3,0,4
172,122691141,3,3,2,3,2,2,3,2,4,3,1,3
173,149099090,4,3,2,5,2,5,4,4,4,3,3,2
174,172525663,5,4,2,2,1,4,4,3,4,2,4,3
175,170716577,5,3,4,4,3,3,3,3,3,3,1,0
176,194844530,3,3,3,2,3,3,4,2,5,4,3,3
177,172255476,3,2,1,3,3,1,3,3,1,2,0,1
178,122870751,4,3,2,5,4,4,4,3,3,4,2,2
179,171247465,4,4,3,3,3,4,4,3,5,2,3,2
180,175692243,1,4,1,3,2,2,4,3,2,3,0,1
181,121582826,5,4,2,3,3,5,4,5,3,2,3,3
182,122778859,1,4,1,2,3,4,2,2,3,0,3,3
183,171504116,6,5,3,5,5,3,4,4,4,3,3,4
184,171553601,4,4,2,5,4,4,4,5,4,5,4,3
185,197112659,5,4,2,2,3,3,2,2,5,1,3,2
186,170503752,3,3,2,4,4,2,3,3,2,4,0,2
187,123569843,2,4,1,4,4,4,3,3,5,3,3,2
188,122774585,3,4,3,4,4,3,2,4,5,2,4,3
189,84342919,3,0,0,0,0,0,0,0,0,0,0,0
190,170968010,6,4,1,3,2,1,2,1,3,2,1,2
191,118886553,4,2,2,3,4,4,5,4,5,3,0,3
192,122740035,5,4,3,5,4,4,5,5,5,4,2,2
193,122968186,2,4,3,3,2,2,1,4,2,2,0,1
194,192850929,3,2,2,3,1,2,5,3,3,3,2,1
195,84062634,2,2,3,2,1,2,4,2,4,2,1,3
196,171437345,2,2,0,2,3,1,2,2,4,2,0,2
197,121683438,6,4,1,1,2,3,3,3,4,2,0,4
198,121628654,4,4,3,3,3,4,3,2,5,3,1,2
199,193066332,4,3,3,3,4,5,2,5,5,3,3,4
200,172995830,5,4,3,3,3,4,1,5,2,3,3,3
201,170413576,5,4,2,4,2,3,5,4,5,4,3,2
202,121709753,4,3,4,4,3,3,4,4,2,3,1,4
203,122907673,2,3,2,2,1,2,3,3,3,3,2,2
204,84281434,5,4,3,5,4,4,3,4,5,3,4,2
205,192898188,4,3,3,4,4,4,5,4,5,2,2,3
206,84166370,2,5,3,4,2,2,3,2,3,2,2,3
207,192909916,5,4,2,3,0,2,2,1,5,3,2,1
208,170506363,4,3,2,5,2,4,3,3,4,3,2,2
209,125465793,3,4,2,3,4,3,4,4,4,4,1,3
210,122909947,5,2,4,5,2,5,3,5,3,2,2,2
211,171466524,5,5,3,5,2,4,4,3,4,4,4,3
212,171441384,4,4,3,5,4,4,5,4,3,4,2,3
213,122109894,4,5,1,5,5,3,3,4,5,3,2,3
214,170857972,5,3,1,3,3,3,4,3,3,2,0,1
215,121720774,4,5,2,4,3,3,5,4,3,1,1,2
216,122059724,5,3,4,5,3,4,3,4,5,5,1,3
217,121685453,5,5,1,3,5,3,4,2,4,3,2,3
218,171258874,4,4,2,2,3,2,5,2,1,4,3,2
219,121675586,3,3,3,4,1,2,4,2,3,3,2,2
220,122894560,4,5,2,3,4,5,4,4,3,2,3,3
221,121727519,3,3,3,3,2,3,4,3,3,1,2,1
222,193192852,5,4,2,4,1,3,3,3,5,3,3,2
223,84970691,6,5,4,5,2,2,5,2,4,3,1,2
224,121301068,5,4,4,4,2,3,3,4,4,4,3,3
225,84416381,5,4,2,4,3,2,4,4,4,4,2,2
226,170438691,4,3,1,4,3,4,4,3,5,4,4,3
227,170794832,4,5,3,4,2,5,5,2,5,4,5,3
228,170729966,6,2,3,2,2,3,4,3,4,3,2,2
